[2025-07-04 01:11:37] [PERFORMANCE] Performance: page_load (165.7087802887ms) | action: page_load | duration_ms: 165.7087802887 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/about/
[2025-07-04 01:11:59] [PERFORMANCE] Performance: page_load (219.318151474ms) | action: page_load | duration_ms: 219.318151474 | user_id: 0 | ip: 103.134.118.110 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 01:11:59] [PERFORMANCE] Performance: page_load (151.95798873901ms) | action: page_load | duration_ms: 151.95798873901 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/privacy
[2025-07-04 01:12:00] [PERFORMANCE] Performance: page_load (178.3390045166ms) | action: page_load | duration_ms: 178.3390045166 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/privacy-policy/
[2025-07-04 01:13:18] [PERFORMANCE] Performance: page_load (189.16201591492ms) | action: page_load | duration_ms: 189.16201591492 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 01:18:17] [PERFORMANCE] Performance: page_load (386.87205314636ms) | action: page_load | duration_ms: 386.87205314636 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
[2025-07-04 01:19:29] [PERFORMANCE] Performance: page_load (220.42608261108ms) | action: page_load | duration_ms: 220.42608261108 | user_id: 0 | ip: 157.245.6.207 | url: https://zippicks.com/xmlrpc.php
[2025-07-04 01:19:51] [PERFORMANCE] Performance: page_load (181.60009384155ms) | action: page_load | duration_ms: 181.60009384155 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/privacy-policy/
[2025-07-04 01:22:40] [PERFORMANCE] Performance: page_load (186.50698661804ms) | action: page_load | duration_ms: 186.50698661804 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/privacy-policy/
[2025-07-04 01:22:48] [PERFORMANCE] Performance: page_load (163.47503662109ms) | action: page_load | duration_ms: 163.47503662109 | user_id: 1 | ip: 98.51.185.240 | url: https://zippicks.com/privacy-policy/
[2025-07-04 01:23:17] [PERFORMANCE] Performance: page_load (726.16100311279ms) | action: page_load | duration_ms: 726.16100311279 | user_id: 0 | ip: 173.230.156.196 | url: https://zippicks.com/wp-cron.php
